nama_label,label,image_path,bounding_box,status
milk,5,valid/images/-100_jpg.rf.28e893f11faaf6c8f5f8dcea151ec696.jpg,"[39, 0, 225, 499]",1
milk,5,valid/images/-100_jpg.rf.28e893f11faaf6c8f5f8dcea151ec696.jpg,"[209, 44, 309, 453]",1
milk,5,valid/images/-100_jpg.rf.28e893f11faaf6c8f5f8dcea151ec696.jpg,"[346, 76, 488, 441]",1
milk,5,valid/images/-100_jpg.rf.28e893f11faaf6c8f5f8dcea151ec696.jpg,"[485, 76, 626, 441]",1
sausage,7,valid/images/regnum_picture_145561443518149_big_jpg.rf.d4a865104db96cadf77069a723350870.jpg,"[246, 78, 626, 334]",1
sausage,7,valid/images/regnum_picture_145561443518149_big_jpg.rf.d4a865104db96cadf77069a723350870.jpg,"[8, 23, 500, 291]",1
potato,6,valid/images/-9_jpg.rf.aa4e5ee277b3a4b2acaa2979bf5be4a6.jpg,"[103, 18, 827, 509]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[469, 122, 539, 201]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[480, 28, 539, 116]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[355, 388, 485, 503]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[261, 412, 359, 500]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[338, 486, 459, 615]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[460, 506, 539, 636]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[264, 636, 396, 715]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[223, 526, 348, 648]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[135, 617, 266, 715]",1
